pathway,79644 SRD5A3,22845 DOLK,1798 DPAGT1,29880 ALG5,79868 ALG13,199857 ALG14,8813 DPM1,8818 DPM2,54344 DPM3,56052 ALG1,85365 ALG2,440138 ALG11,10195 ALG3,79796 ALG9,79087 ALG12,29929 ALG6,79053 ALG8,84920 ALG10,144245 ALG10B,3703 STT3A,201595 STT3B,6184 RPN1,6185 RPN2,1603 DAD1,7991 TUSC3,1650 DDOST,57171 DOLPP1,7841 MOGS,23193 GANAB,11253 MAN1B1,10905 MAN1A2,57134 MAN1C1,4121 MAN1A1,4245 MGAT1,4124 MAN2A1,4122 MAN2A2,4247 MGAT2,2530 FUT8,2683 B4GALT1,8704 B4GALT2,8703 B4GALT3,6480 ST6GAL1,84620 ST6GAL2,4248 MGAT3,11320 MGAT4A,11282 MGAT4B,152586 MGAT4D,4249 MGAT5,146664 MGAT5B,25834 MGAT4C,4758 NEU1,10825 NEU3,129807 NEU4,4759 NEU2,2720 GLB1,3073 HEXA,3074 HEXB,284004 HEXD,4123 MAN2C1,4125 MAN2B1,23324 MAN2B2,4126 MANBA,64772 ENGASE,2517 FUCA1,2519 FUCA2,175 AGA,2629 GBA,57704 GBA2,442117 GALNTL6,11227 GALNT5,64409 GALNT17,63917 GALNT11,79695 GALNT12,114805 GALNT13,79623 GALNT14,57452 GALNT16,117248 GALNT15,374378 GALNT18,168391 GALNTL5,55568 GALNT10,2590 GALNT2,2591 GALNT3,2589 GALNT1,11226 GALNT6,8693 GALNT4,50614 GALNT9,51809 GALNT7,26290 GALNT8,100528030 POC1B-GALNT4,56913 C1GALT1,29071 C1GALT1C1,728819 C1GALT1C1L,2650 GCNT1,9245 GCNT3,51301 GCNT4,6482 ST3GAL1,6483 ST3GAL2,55808 ST6GALNAC1,10610 ST6GALNAC2,256435 ST6GALNAC3,27090 ST6GALNAC4,10331 B3GNT3,192134 B3GNT6,9334 B4GALT5,6487 ST3GAL3,283358 B4GALNT3,338707 B4GALNT4,64377 CHST8,83539 CHST9,8473 OGT,285203 EOGT,23509 POFUT1,23275 POFUT2,4242 MFNG,3955 LFNG,5986 RFNG,145173 B3GLCT,56983 POGLUT1,283464 GXYLT1,727936 GXYLT2,152002 XXYLT1,79709 COLGALT1,23127 COLGALT2,8985 PLOD3,10585 POMT1,29954 POMT2,55624 POMGNT1,27087 B3GAT1,135152 B3GAT2,9486 CHST10,10690 FUT9,2526 FUT4,84892 POMGNT2,148789 B3GALNT2,84197 POMK,729920 CRPPA,2218 FKTN,79147 FKRP,10329 RXYLT1,11041 B4GAT1,9215 LARGE1,120071 LARGE2,8692 HYAL2,3373 HYAL1,6677 SPAM1,23553 HYAL4,8372 HYAL3,2990 GUSB,3423 IDS,3425 IDUA,411 ARSB,10855 HPSE,60495 HPSE2,6448 SGSH,138050 HGSNAT,4669 NAGLU,2588 GALNS,2799 GNS,64131 XYLT1,64132 XYLT2,11285 B4GALT7,126792 B3GALT6,26229 B3GAT3,55790 CSGALNACT1,55454 CSGALNACT2,337876 CHSY3,22856 CHSY1,79586 CHPF,54480 CHPF2,29940 DSE,50515 CHST11,55501 CHST12,166012 CHST13,9469 CHST3,56548 CHST7,51363 CHST15,10090 UST,113189 CHST14,10678 B3GNT2,4166 CHST6,8702 B4GALT4,93010 B3GNT7,8534 CHST1,9435 CHST2,10164 CHST4,2135 EXTL2,2137 EXTL3,2134 EXTL1,2131 EXT1,2132 EXT2,3340 NDST1,8509 NDST2,9348 NDST3,64579 NDST4,26035 GLCE,9653 HS2ST1,9394 HS6ST1,90161 HS6ST2,266722 HS6ST3,9957 HS3ST1,9956 HS3ST2,9953 HS3ST3B1,9955 HS3ST3A1,222537 HS3ST5,5277 PIGA,5279 PIGC,5283 PIGH,51227 PIGP,9091 PIGQ,84992 PIGY,9487 PIGL,284098 PIGW,2822 GPLD1,93183 PIGM,54965 PIGX,55650 PIGV,23556 PIGN,9488 PIGB,84720 PIGO,5281 PIGF,54872 PIGG,8733 GPAA1,10026 PIGK,94005 PIGS,51604 PIGT,128869 PIGU,80055 PGAP1,65258 MPPE1,80235 PIGZ,84002 B3GNT5,8708 B3GALT1,8707 B3GALT2,10317 B3GALT5,2523 FUT1,2524 FUT2,2525 FUT3,6484 ST3GAL4,28 ABO,2527 FUT5,2528 FUT6,2529 FUT7,10402 ST3GAL6,6489 ST8SIA1,53947 A4GALT,8706 B3GALNT1,79369 B3GNT4,2651 GCNT2,127550 A3GALT2,26301 GBGT1,2717 GLA,4668 NAGA,2583 B4GALNT1,8705 B3GALT4,29906 ST8SIA5,8869 ST3GAL5,9197 SLC33A1,81849 ST6GALNAC5,30815 ST6GALNAC6
has00510 NGlycan biosynthesis ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has00511 Other glycan degradation ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has00512 Mucin type Oglycan biosynthesis ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has00513 Various types of Nglycan biosynthesis ,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has00514 Other types of Oglycan biosynthesis ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has00515 Mannose type Oglycan biosynthesis ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has00531 Glycosaminoglycan degradation ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has00532 Glycosaminoglycan biosynthesis  chondroitin sulfate  dermatan sulfate ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has00533 Glycosaminoglycan biosynthesis  keratan sulfate ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has00534 Glycosaminoglycan biosynthesis  heparan sulfate  heparin ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
