pathway,6898 TAT,27235 COQ2,51004 COQ6,51805 COQ3,84274 COQ5,10229 COQ7,1728 NQO1,2677 GGCX,79001 VKORC1,154807 VKORC1L1,3242 HPD,1719 DHFR,200895 DHFR2,25902 MTHFD1L,4522 MTHFD1,10797 MTHFD2,441024 MTHFD2L,6472 SHMT2,6470 SHMT1,2618 GART,471 ATIC,10841 FTCD,123263 MTFMT,275 AMT,4548 MTR,7298 TYMS,10840 ALDH1L1,160428 ALDH1L2,4524 MTHFR,10588 MTHFS,100528021 ST20-MTHFS,9054 NFS1,84284 NTPCR,249 ALPL,248 ALPI,250 ALPP,251 ALPG,52 ACP1,27010 TPK1,122481 AK7,205 AK4,26289 AK5,204 AK2,203 AK1,158067 AK8,79178 THTPA,55312 RFK,54 ACP5,53 ACP2,80308 FLAD1,5167 ENPP1,5169 ENPP3,645 BLVRB,55163 PNPO,8566 PDXK,57026 PDXP,493911 PHOSPHO2,316 AOX1,29968 PSAT1,554235 ASPDH,23475 QPRT,93100 NAPRT,4860 PNP,54981 NMRK1,27231 NMRK2,22978 NT5C2,84618 NT5C1A,93034 NT5C1B,30833 NT5C,56953 NT5M,100526794 NT5C1B-RDH14,4907 NT5E,349565 NMNAT3,64802 NMNAT1,23057 NMNAT2,83594 NUDT12,55191 NADSYN1,10135 NAMPT,952 CD38,683 BST1,23411 SIRT1,22933 SIRT2,23410 SIRT3,23409 SIRT4,23408 SIRT5,51548 SIRT6,51547 SIRT7,65220 NADK,133686 NADK2,23530 NNT,4837 NNMT,53354 PANK1,79646 PANK3,80025 PANK2,79717 PPCS,60490 PPCDC,80347 COASY,60496 AASDHPPT,8876 VNN1,8875 VNN2,587 BCAT2,586 BCAT1,1806 DPYD,1807 DPYS,51733 UPB1,339896 GADL1,51380 CSAD,217 ALDH2,224 ALDH3A2,219 ALDH1B1,54995 OXSM,3141 HLCS,686 BTD,387787 LIPT2,11019 LIAS,51601 LIPT1,116285 ACSM1,2643 GCH1,2356 FPGS,8836 GGH,5805 PTS,6697 SPR,231 AKR1B1,57016 AKR1B10,873 CBR1,8644 AKR1C3,5860 QDPR,84105 PCBD2,5092 PCBD1,5053 PAH,7054 TH,121278 TPH2,7166 TPH1,4337 MOCS1,4338 MOCS2,10243 GPHN,55034 MOCOS,53630 BCO1,124 ADH1A,125 ADH1B,126 ADH1C,131 ADH7,127 ADH4,128 ADH5,130 ADH6,9249 DHRS3,10901 DHRS4,317749 DHRS4L2,10170 DHRS9,50700 RDH8,157506 RDH10,51109 RDH11,145226 RDH12,112724 RDH13,8608 RDH16,195814 SDR16C5,8630 HSD17B6,9227 LRAT,8694 DGAT1,158835 AWAT2,8228 PNPLA4,6121 RPE65,5959 RDH5,8854 ALDH1A2,216 ALDH1A1,220 ALDH1A3,1592 CYP26A1,56603 CYP26B1,340665 CYP26C1,1543 CYP1A1,1544 CYP1A2,1548 CYP2A6,1549 CYP2A7,1555 CYP2B6,1558 CYP2C8,1559 CYP2C9,1562 CYP2C18,29785 CYP2S1,1576 CYP3A4,1577 CYP3A5,1551 CYP3A7,100861540 CYP3A7-CYP3A51P,54905 CYP2W1,10941 UGT2A1,79799 UGT2A3,7367 UGT2B17,10720 UGT2B11,54490 UGT2B28,54578 UGT1A6,54657 UGT1A4,54658 UGT1A1,54659 UGT1A3,7365 UGT2B10,54600 UGT1A9,7364 UGT2B7,54575 UGT1A10,54576 UGT1A8,54579 UGT1A5,7366 UGT2B15,54577 UGT1A7,7363 UGT2B4,574537 UGT2A2,54884 RETSAT,339761 CYP27C1,211 ALAS1,212 ALAS2,124454 EARS2,2058 EPRS1,210 ALAD,3145 HMBS,7390 UROS,7389 UROD,1371 CPOX,5498 PPOX,2235 FECH,1352 COX10,1355 COX15,326625 MMAB,3162 HMOX1,3163 HMOX2,644 BLVRA,2990 GUSB,3052 HCCS,1356 CP,9843 HEPH,341208 HEPHL1,2395 FXN
has00130 Ubiquinone and other terpenoidquinone biosynthesis ,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has00670 One carbon pool by folate ,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has00730 Thiamine metabolism ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has00740 Riboflavin metabolism ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has00750 Vitamin B6 metabolism ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has00760 Nicotinate and nicotinamide metabolism ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has00770 Pantothenate and CoA biosynthesis ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has00780 Biotin metabolism ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has00785 Lipoic acid metabolism ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has00790 Folate biosynthesis ,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
